miasto,pm25_mean,pm25_max,pm25_min,pm10_mean,pm10_max,pm10_min
bielsko-biala,12.171304347826087,37.2,1.3,11.459502923976608,26.8,1.9
bydgoszcz,12.879723502304149,32.4,1.9,5.8424878836833605,24.4,1.0
krakow,9.360434782608696,26.4,2.6,18.486773255813954,71.5,4.8
lublin,13.302539682539683,36.2,5.7,8.727460317460316,21.8,4.1
poznan,16.180173661360346,38.3,6.2,9.714327062228655,30.1,2.5
warszawa,9.290448625180899,21.9,4.3,19.485383502170766,48.9,8.3
bielsko-biala,16.851944444444445,67.3,2.5,18.16927374301676,91.5,2.4
bydgoszcz,9.321341463414633,31.9,1.0,21.582915360501563,60.6,3.2
krakow,13.049861111111113,138.8,2.3,24.43125,193.2,5.2
lublin,19.9673157162726,86.2,3.8,12.16884561891516,64.2,3.3
poznan,13.056666666666668,38.5,1.8,22.875,94.3,4.8
warszawa,32.56421356421357,158.0,5.3,11.707070707070708,36.5,3.6
bielsko-biala,44.674107142857146,124.6,5.3,53.695373134328364,163.4,9.2
bydgoszcz,25.095671641791043,74.2,2.4,37.193643410852715,101.7,4.6
krakow,40.87083333333333,118.8,8.5,59.21889880952381,150.6,10.5
lublin,45.08417910447761,176.9,6.7,50.375671641791044,196.3,8.0
poznan,41.587443946188344,157.1,4.2,48.54050822122571,167.5,4.7
warszawa,34.36551204819277,93.3,5.9,62.046987951807225,341.5,8.3
bielsko-biala,12.799731182795698,35.1,2.5,12.685945945945946,29.9,3.5
bydgoszcz,5.141935483870968,22.8,1.0,12.556671449067432,40.5,2.7
krakow,9.381182795698924,37.2,2.5,17.825000000000003,77.0,4.1
lublin,12.431120331950208,33.4,4.9,8.514799446749654,26.5,3.6
poznan,9.113108108108108,35.8,0.3,16.051486486486485,91.9,2.1
warszawa,8.761185983827493,25.8,2.4,18.476145552560645,54.6,3.0
bielsko-biala,23.729609690444143,70.1,3.5,28.282432432432433,97.4,4.0
bydgoszcz,23.36075418994413,82.2,1.0,41.92776978417266,171.0,3.6
krakow,42.629878869448184,216.8,6.0,24.959892328398386,91.0,2.8
lublin,28.497267759562842,155.8,4.7,35.63128415300547,173.5,5.7
poznan,47.133109017496636,209.7,4.1,34.927321668909826,128.3,3.2
warszawa,25.90274725274725,91.6,2.6,55.07101648351648,240.4,3.9
bielsko-biala,24.264247311827955,129.1,2.2,29.79095966620306,159.7,3.6
bydgoszcz,12.436827956989248,47.7,1.0,18.475336322869953,63.8,1.5
krakow,29.11397849462366,128.6,1.5,45.87540322580646,214.8,2.5
lublin,24.67983870967742,117.2,5.2,27.42661290322581,122.2,5.9
poznan,18.818145161290325,70.8,2.0,21.70443548387097,93.2,2.2
warszawa,20.943951612903227,80.4,3.9,36.921370967741936,171.0,5.2
